INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
IIT Guwahati,Electronics & Communication Engineering,336,ST
IIT Hydrabad,Computer Engineering,337,ST
IIT Bombay,Metallurgical and Materials Engineering *,343,ST
IIT Kanpur,Electrical Engineering,344,OBC
IIT Hydrabad,Civil Engineering,345,ST
IIT Gandhinagar,Electrical Engineering,346,ST
IIT Kharagpur,Aerospace,347,ST
IIT (BHU) Varanasi,Civil with M. Tech in Structural Engineering,351,ST
IIT Delhi,Civil Engineering,353,SC
IIT (BHU) Varanasi,Electronics Engineering,356,ST
IIT (BHU) Varanasi,Computer Science & Engineering,357,ST
IIT Bombay,Electrical Engineering *,358,OBC
IIT Bhubaneshwar,Civil Engineering,359,ST
IIT Bhubaneshwar,Electrical Engineering,367,ST
IIT Jodhpur,Electrical Engineering,369,ST
IIT Bombay,Civil Engineering,372,SC
IIT Roorkee,Computer Engineering,377,OBC
ISM Dhanbad,Civil Engineering,379,ST
IIT (BHU) Varanasi,Electrical (Power Electronics) Engineering,381,ST
IIT Madras,Aerospace *,381,ST
IIT Madras,Electrical Engineering,383,SC
IIT Kharagpur,Electronics &Electrical Engineering,385,OBC
IIT Madras,Chemical Engineering,387,ST
IIT indore,Mechanical Engineering,388,ST
IIT indore,Computer Engineering,390,ST
IIT Delhi,Chemical Engineering,393,ST
IIT Kharagpur,Computer Science & Engineering,393,OBC
IIT Kharagpur,Aerospace Engineering,394,SC
IIT Kharagpur,Computer Engineering,396,GENERAL
IIT Bhubaneshwar,Mechanical Engineering,397,ST
IIT Kharagpur,Mechanical (M. Tech in any specialization),399,SC
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),400,OBC
IIT Gandhinagar,Mechanical Engineering,403,ST
IIT Ropar,Electrical Engineering,406,ST
IIT Madras,Mechanical Engineering,407,OBC
IIT Kharagpur,Instrumentation Engineering,409,ST
IIT Kanpur,Chemical Engineering,410,ST
IIT Ropar,Mechanical Engineering,417,ST
IIT Jodhpur,Mechanical Engineering,418,ST
IIT Delhi,Production Engineering,419,ST
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),421,OBC
IIT Ropar,Computer Engineering,421,ST
IIT Mandi,Electrical Engineering,423,ST
IIT Kharagpur,Electrical Engineering,426,OBC
IIT Bombay,Engineering Physics,426,ST
IIT Delhi,Electrical (Power & Automation) Engineering,432,OBC
IIT Patna,Mechanical Engineering,433,ST
IIT Mandi,Mechanical  Engineering,434,ST
IIT Bombay,Electrical Engineering *,435,GENERAL
IIT Roorkee,Electrical Engineering,440,SC
IIT (BHU) Varanasi,Computer Engineering,441,SC
IIT Bhubaneshwar,Computer Engineering,441,ST
IIT Madras,Chemical Engineering,445,ST
IIT Kanpur,Aerospace Engineering,446,SC
IIT Madras,Engineering Design(Automotive),447,ST
IIT Guwahati,Computer Engineering,448,SC
IIT Kharagpur,Chemical Engineering,452,ST
IIT Kharagpur,Electrical Engineering *,453,SC
IIT Kanpur,Mechanical Engineering,454,OBC
IIT Kharagpur,Electronics and Electrical Communication Engineering,454,SC
IIT Madras,Aerospace Engineering,458,SC
IIT Madras,Electrical Engineering *,459,SC
IIT Bombay,Energy (M. Tech in Energy Systems) Engineering,462,ST
ISM Dhanbad,Electrical Engineering,467,ST
IIT Madras,Mechanical (Product Design),467,SC
IIT Patna,Electrical Engineering,469,ST
IIT Madras,Computer Science & Engineering,470,GENERAL
IIT Kanpur,Civil Engineering,475,SC
IIT Madras,Aerospace,477,SC
IIT Jodhpur,Computer Engineering,480,ST
ISM Dhanbad,Mechanical Engineering,483,ST
IIT Roorkee,Electronics & Communication Engineering,487,SC
IIT Bombay,Mechanical Engineering,488,GENERAL
IIT Bombay,Engineering Physics,490,SC
IIT Madras,Naval Arch. & Ocean Engineering,492,ST
IIT Kharagpur,Chemical Engineering,497,ST
IIT Madras,Electrical Engineering,502,OBC
IIT Kharagpur,Mechanical Engineering,505,OBC
ISM Dhanbad,Electronics & Communication Engineering,510,ST
IIT Roorkee,Chemical Engineering,512,ST
IIT Madras,Civil Engineering,513,SC
IIT Bombay,Metallurgical and Materials Engineering *,515,ST
IIT Hydrabad,Computer Engineering,517,SC
IIT Patna,Computer Science and Engineering,518,ST
IIT Bombay,Metallurgical Science,522,ST
IIT Guwahati,Chemical Engineering,529,ST
IIT Gandhinagar,Chemical Engineering,531,ST
IIT Madras,Mechanical (Intelligent Manufacturing),534,SC
IIT Madras,Engineering Physics,536,ST
IIT Mandi,Computer Engineering,538,ST
IIT Madras,Engineering Physics,539,SC
IIT Madras,Metallurgical Engineering,543,ST
IIT Bombay,Chemical Engineering,544,SC
IIT Madras,Naval Architecture & Ocean Engineering *,546,ST
IIT Guwahati,Mathematics Computing,551,ST
ISM Dhanbad,Electronics & Instrumentation Engineering,553,ST
IIT Roorkee,Production Engineering,554,ST
IIT Guwahati,Mechanical Engineering,555,SC
IIT Ropar,Computer Engineering,556,SC
IIT Delhi,Mathematics & Computing,558,ST
IIT Madras,Mechanical (Thermal Engineering),558,SC
IIT Hydrabad,Chemical Engineering,560,ST
