INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
IIT Madras,Aerospace,193,ST
IIT Kanpur,Physics,194,GENERAL
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),195,SC
IIT Delhi,Production Engineering,196,ST
IIT Guwahati,Mechanical Engineering,197,ST
IIT Delhi,Electrical (Power & Automation) Engineering,197,OBC
IIT Madras,Electrical Engineering,204,ST
IIT Kharagpur,Electronics and Electrical Communication Engineering,205,OBC
IIT Bombay,Engineering Physics,206,GENERAL
IIT Mandi,Electrical Engineering,208,ST
IIT Delhi,Chemical Engineering,209,ST
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),209,SC
IIT Roorkee,Computer Engineering,212,OBC
IIT Madras,Mechanical (Product Design),212,ST
IIT (BHU) Varanasi,Electrical Engineering,213,ST
IIT Kharagpur,Electrical Engineering *,214,ST
IIT Guwahati,Civil Engineering,215,ST
IIT Kharagpur,Computer Science & Engineering,218,OBC
IIT Jodhpur,Computer Engineering,218,ST
IIT Delhi,Engineering Physics,219,SC
IIT Madras,Aerospace Engineering,225,ST
IIT Kanpur,Civil Engineering,227,SC
IIT (BHU) Varanasi,Civil Engineering,229,ST
IIT Gandhinagar,Civil Engineering,236,ST
IIT Bombay,Metallurgical Science,239,ST
IIT Roorkee,Electrical Engineering,240,SC
IIT Kharagpur,Computer Engineering,240,GENERAL
IIT Kharagpur,Electronics &Electrical Engineering,241,GENERAL
IIT (BHU) Varanasi,Mechanical Engineering,249,ST
ISM Dhanbad,Civil Engineering,252,ST
IIT Madras,Chemical Engineering,253,GENERAL
IIT Madras,Mechanical (Intelligent Manufacturing),256,ST
IIT Hydrabad,Computer Engineering,256,SC
IIT Bombay,Aerospace Engineering,256,OBC
IIT Madras,Civil Engineering,258,SC
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),267,OBC
IIT Gandhinagar,Mechanical Engineering,269,ST
IIT Kanpur,Aerospace Engineering,270,SC
IIT Kharagpur,Civil (any specialization),271,ST
IIT Delhi,Mechanical Engineering,272,GENERAL
IIT Kharagpur,Aerospace Engineering,273,ST
IIT Guwahati,Electronics & Communication Engineering,275,ST
IIT Madras,Civil (any specialization),276,SC
IIT Guwahati,Chemical Engineering,276,ST
IIT Madras,Electrical Engineering,278,OBC
IIT Madras,Mechanical (Thermal Engineering),278,ST
IIT Kanpur,Chemical Engineering,283,ST
IIT Bhubaneshwar,Electrical Engineering,284,ST
IIT Kanpur,Mechanical Engineering,285,GENERAL
IIT Madras,Electrical Engineering,286,SC
IIT Madras,Civil (Infrastructural),286,ST
IIT Delhi,Chemical Engineering,294,SC
IIT (BHU) Varanasi,Computer Engineering,296,ST
IIT Hydrabad,Electrical Engineering,297,ST
IIT Madras,Civil (any specialization),299,ST
IIT Madras,Engineering Design(Automotive),302,ST
IIT Kanpur,Mechanical Engineering,302,OBC
IIT Delhi,Chemical Engineering,303,OBC
IIT Madras,Computer Science & Engineering,304,GENERAL
IIT Madras,Aerospace Engineering,304,SC
IIT Hydrabad,Civil Engineering,306,ST
IIT Ropar,Computer Engineering,308,ST
IIT (BHU) Varanasi,Electronics Engineering,310,ST
IIT (BHU) Varanasi,Mechanical Engineering,316,ST
IIT Madras,Mechanical (Product Design),318,SC
IIT Delhi,Civil Engineering,320,OBC
IIT Bombay,Engineering Physics *,322,ST
IIT Hydrabad,Computer Engineering,323,OBC
IIT Guwahati,Mechanical Engineering,326,SC
IIT Bhubaneshwar,Civil Engineering,330,ST
IIT indore,Computer Engineering,332,ST
IIT Jodhpur,Electrical Engineering,334,ST
IIT Bombay,Energy (M. Tech in Energy Systems) Engineering,335,ST
IIT Jodhpur,Computer Engineering,336,SC
IIT Bombay,Mechanical (M. Tech in Computer Integrated Manufacturing),338,OBC
IIT Madras,Electrical Engineering *,339,SC
IIT (BHU) Varanasi,Civil with M. Tech in Structural Engineering,339,ST
ISM Dhanbad,Mechanical Engineering,340,ST
IIT (BHU) Varanasi,Computer Engineering,340,SC
IIT (BHU) Varanasi,Electrical (Power Electronics) Engineering,341,ST
IIT Kharagpur,Instrumentation Engineering,342,ST
IIT indore,Computer Engineering,342,SC
IIT Bombay,Metallurgical and Materials Engineering *,343,ST
IIT Madras,Chemical Engineering,344,ST
IIT Kharagpur,Aerospace,347,ST
IIT Roorkee,Electronics & Communication Engineering,347,SC
IIT Bhubaneshwar,Computer Engineering,350,ST
IIT Kharagpur,Mechanical Engineering,351,OBC
IIT Kharagpur,Mining Engineering,352,ST
IIT (BHU) Varanasi,Computer Science & Engineering,357,ST
IIT Delhi,Mathematics & Computing,357,GENERAL
IIT Kharagpur,Electrical Engineering *,360,SC
IIT Guwahati,Computer Engineering,363,OBC
IIT Delhi,Chemical Engineering,364,ST
IIT indore,Mechanical Engineering,365,ST
IIT Roorkee,Civil Engineering,367,SC
IIT Delhi,Production Engineering,371,SC
ISM Dhanbad,Electrical Engineering,372,ST
IIT (BHU) Varanasi,Mining Engineering,373,ST
IIT Delhi,Electrical (Power & Automation) Engineering,374,GENERAL
IIT Ropar,Electrical Engineering,374,ST
IIT Kharagpur,Chemical Engineering,375,ST
IIT Roorkee,Chemical Engineering,376,ST
IIT Delhi,Mathematics & Computing,377,ST
IIT Roorkee,Computer Engineering,379,GENERAL
IIT Bombay,Civil Engineering,379,OBC
IIT Madras,Aerospace *,381,ST
IIT (BHU) Varanasi,Mechanical Engineering,387,SC
IIT Jodhpur,Mechanical Engineering,391,ST
IIT Kharagpur,Electronics and Electrical Communication Engineering,392,SC
IIT Guwahati,Biotechnology,394,ST
IIT Madras,Metallurgical Engineering,395,ST
IIT Ropar,Mechanical Engineering,399,ST
ISM Dhanbad,Petroleum Engineering,400,SC
IIT Bombay,Civil Engineering,400,GENERAL
ISM Dhanbad,Electronics & Communication Engineering,401,ST
IIT Delhi,Engineering Physics,402,ST
IIT Bombay,Aerospace Engineering,405,GENERAL
IIT Mandi,Mechanical  Engineering,411,ST
IIT Guwahati,Mathematics Computing,412,ST
IIT Delhi,Chemical Engineering,413,SC
IIT Kharagpur,Computer Science & Engineering,416,GENERAL
IIT Madras,Chemical Engineering,416,SC
IIT Kharagpur,Civil Engineering,420,SC
IIT Madras,Chemical Engineering,424,OBC
IIT Madras,Mechanical (Product Design),425,OBC
IIT Ropar,Mechanical Engineering,426,SC
IIT Bombay,Chemical Engineering,427,OBC
ISM Dhanbad,Computer Engineering,435,ST
IIT (BHU) Varanasi,Computer Engineering,435,OBC
IIT Ropar,Computer Engineering,443,OBC
IIT Roorkee,Mechanical Engineering,445,OBC
IIT Madras,Chemical Engineering,445,ST
IIT Kanpur,Economics,445,SC
IIT Delhi,Mathematics & Computing,448,OBC
IIT Patna,Electrical Engineering,448,ST
IIT Roorkee,Production Engineering,453,ST
IIT Bombay,Engineering Physics,455,OBC
IIT Kharagpur,Industrial Engineering,456,ST
IIT Gandhinagar,Chemical Engineering,457,ST
IIT Roorkee,Electrical Engineering,459,OBC
IIT Patna,Computer Science and Engineering,460,ST
IIT Madras,Mechanical (Intelligent Manufacturing),460,SC
IIT Roorkee,Electronics & Communication Engineering,460,OBC
ISM Dhanbad,Petroleum Engineering,461,ST
IIT Guwahati,Electronics & Communication Engineering,473,SC
IIT Mandi,Computer Engineering,476,ST
IIT Kharagpur,Chemical Engineering,477,ST
IIT Madras,Aerospace,477,SC
IIT Madras,Mechanical (Intelligent Manufacturing),481,OBC
IIT Kanpur,Biological Sc. & Bioengineering,482,ST
IIT Madras,Mechanical (Thermal Engineering),483,SC
IIT (BHU) Varanasi,Chemical Engineering,485,ST
IIT Delhi,Textile Technology,491,ST
IIT Kharagpur,Aerospace,492,SC
IIT Hydrabad,Electrical Engineering,492,OBC
IIT Guwahati,Electronics & Electrical Engineering,495,SC
IIT Kharagpur,Civil (any specialization),496,SC
IIT Madras,Aerospace Engineering,500,OBC
IIT Delhi,Mathematics & Computing,501,SC
IIT Kanpur,Materials Science Engineering,504,ST
IIT Bombay,Mechanical (M. Tech in Computer Aided Design),505,GENERAL
IIT Kharagpur,Electrical Engineering *,506,OBC
IIT (BHU) Varanasi,Electronics Engineering,510,SC
IIT Guwahati,Mechanical Engineering,511,OBC
IIT Bombay,Metallurgical and Materials Engineering *,515,ST
IIT Madras,Engineering Physics,518,ST
IIT (BHU) Varanasi,Computer Science & Engineering,520,SC
IIT Gandhinagar,Chemical Engineering,521,SC
IIT Bombay,Metallurgical Science,526,SC
ISM Dhanbad,Mining Engineering,527,ST
IIT Kharagpur,Chemical Engineering,529,SC
ISM Dhanbad,Electronics & Instrumentation Engineering,530,ST
IIT Kanpur,Civil Engineering,531,OBC
IIT Jodhpur,Mechanical Engineering,532,SC
IIT Kharagpur,Ocean Engineering & Naval Architecture,535,ST
IIT Kharagpur,Mechanical (M. Tech in any specialization),536,OBC
IIT Madras,Civil Engineering,537,OBC
IIT (BHU) Varanasi,Engineering Physics,539,ST
IIT Madras,Electrical Engineering *,543,OBC
IIT Madras,Naval Architecture & Ocean Engineering *,546,ST
IIT Hydrabad,Chemical Engineering,547,ST
IIT Kharagpur,Metallurgical Engineering,548,ST
IIT Kanpur,Physics,549,OBC
IIT Roorkee,Metallurgical Engineering,552,ST
IIT Gandhinagar,Mechanical Engineering,553,SC
IIT Guwahati,Electronics & Electrical Engineering,559,OBC
IIT Guwahati,Chemical Technology,559,ST
IIT Hydrabad,Mechanical Engineering,560,SC
IIT Madras,Civil (Infrastructural),563,SC
IIT Kanpur,Chemical Engineering,564,SC
IIT Madras,Physics,564,ST
IIT (BHU) Varanasi,Electrical Engineering,568,SC
IIT Kharagpur,Metallurgical and Materials Engineering *,577,ST
IIT Kharagpur,Chemical Engineering,578,SC
IIT Patna,Chemical Science and Technology,578,ST
IIT Kharagpur,Electrical Engineering,580,GENERAL
IIT Kharagpur,Agricultural & Food Engineering,580,ST
IIT Guwahati,Design,581,ST
IIT Hydrabad,Engineering Science,583,ST
